"id","publisher","extension","install","averagerating","ratingcount","trendingdaily","trendingmonthly","trendingweekly","updateCount","weightedRating","downloadCount"
"ms-python.python","Microsoft","Python",56219795,4.19279670715332,472,0.00339827810493865,3.22445873393649,0.701779975275482,334607367,4.19716201881631,457704
"ms-toolsai.jupyter","Microsoft","Jupyter",36833801,2.58685445785522,213,0.00556112860755126,5.05782038490126,1.10522983374268,141732782,2.66830514267379,76593
"ms-vscode.cpptools","Microsoft","C/C++",31185934,3.52854132652283,473,0.00305024856318378,3.21871465732959,0.683371101138698,108668484,3.5466502996654,198646
"ms-python.vscode-pylance","Microsoft","Pylance",29587944,3.35999989509583,150,0.00647542685405166,6.1272676459156,1.31749682501349,206494263,3.42520019723417,57510
"ritwickdey.LiveServer","Ritwick Dey","Live Server",21466099,4.3621621131897,370,0.00486038871273281,4.08070854491712,0.899195002384526,16362742,4.36324218203495,90826
"esbenp.prettier-vscode","Prettier","Prettier - Code formatter",20966436,3.7064220905304,327,0.0034159056973395,3.49881280584818,0.759938504182217,111155785,3.72709813322413,95558
"dbaeumer.vscode-eslint","Microsoft","ESLint",20034564,4.39896392822266,193,0.00238630599831461,2.32327844879734,0.509101808579957,71514331,4.39917283468013,60780
"ms-toolsai.jupyter-keymap","Microsoft","Jupyter Keymap",19434797,3.5,2,0.0107988402138304,9.72684811906344,2.11292530704193,431,4.25267060775773,2619
"VisualStudioExptTeam.vscodeintellicode","Microsoft","IntelliCode",18802762,3.97297286987305,74,0.00388358522373494,3.54428755469471,0.772141821076854,52318839,4.02419094837736,43305
"ms-toolsai.jupyter-renderers","Microsoft","Jupyter Notebook Renderers",17568157,2.59999990463257,5,0.0113713785705687,11.0545378225275,2.35813517039082,12368476,3.80213645441704,2968
"MS-CEINTL.vscode-language-pack-zh-hans","Microsoft","Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code",16005171,4.8139533996582,43,0.00653224780085158,3.53581443268939,0.799277840141432,55222863,4.73645365053576,107772
"ms-dotnettools.csharp","Microsoft","C#",15833364,3.29117655754089,340,0.00265940948980903,2.52747498481104,0.550124998547116,78299868,3.32294879101999,83083
"redhat.java","Red Hat","Language Support for Java(TM) by Red Hat",15809836,3.54198479652405,131,0.00327100311415946,3.18054754061374,0.694610393525667,83456785,3.60306422438116,44601
"ms-azuretools.vscode-docker","Microsoft","Docker",14943468,4.70588254928589,68,0.00388910286764104,4.01502010351574,0.850093455591709,72224466,4.66707770057094,33120
"ms-vscode-remote.remote-wsl","Microsoft","Remote - WSL",14906306,4.84745740890503,59,0.00165723318545714,4.88869699873057,0.346932015401398,57189835,4.7830729625868,25214
"eamodio.gitlens","GitKraken","GitLens — Git supercharged",14711854,4.3652172088623,575,0.003338383516626,3.56083792196723,0.775545193346786,78948097,4.36586656818618,65839
"vscjava.vscode-java-debug","Microsoft","Debugger for Java",14040272,4.13636350631714,22,0.00346246375812112,3.40411434678066,0.738730021285598,44480825,4.21975138850218,20329
"vscjava.vscode-maven","Microsoft","Maven for Java",13571319,4.08333349227905,12,0.00341260075187776,3.37715540195167,0.741168182534473,56504786,4.22872950911097,17612
"vscjava.vscode-java-test","Microsoft","Test Runner for Java",13158537,3.92857146263123,14,0.00338281131993573,3.31092062632937,0.729942155455588,52272946,4.12633532374708,15487
"ms-vscode-remote.remote-containers","Microsoft","Remote - Containers",12973542,4.59999990463257,35,0.00251334288249436,6.61956692943435,0.623285905936369,68361028,4.55626764344961,19895
"vscjava.vscode-java-pack","Microsoft","Extension Pack for Java",12799950,3.79591846466064,49,0.00343067810830377,3.33711984335477,0.733360137946071,46958543,3.89884834002482,85572
"formulahendry.code-runner","Jun Han","Code Runner",12723094,4.44545459747314,220,0.0031526448528277,3.46142295125272,0.730383287500769,24250657,4.44361764668341,46066
"vscjava.vscode-java-dependency","Microsoft","Project Manager for Java",12492387,4,4,0.00359532121392457,3.63127442606382,0.796631769101943,39139691,4.28800337807805,11607
"PKief.material-icon-theme","Philipp Kief","Material Icon Theme",12207360,4.92338705062866,248,0.00399850711476166,3.19017724281184,0.682253246512226,42337902,4.90322494515117,31861
"ms-vscode-remote.remote-ssh","Microsoft","Remote - SSH",11433034,4.09756088256836,123,0.00223082709095423,6.57582156324276,0.508549708194771,31048069,4.12054162292482,59092
"vscode-icons-team.vscode-icons","VSCode Icons Team","vscode-icons",10764286,4.76642322540283,411,0.002815384636827,2.26210115965043,0.485268154186787,42738266,4.7577957076809,36397
"octref.vetur","Pine Wu","Vetur",10519812,4.33333349227905,144,0.00249106686308697,2.38062322689759,0.412071821817634,49264911,4.3378705855927,71119
"ms-vscode-remote.remote-ssh-edit","Microsoft","Remote - SSH: Editing Configuration Files",10021447,3.875,8,0.00247525221871927,7.30802248207713,0.572591711837524,33042893,4.16844707183848,15286
"ecmel.vscode-html-css","ecmel","HTML CSS Support",9827943,3.51162791252136,86,0.00385733675628715,3.18203820452882,0.697526582037309,15267831,3.63191636509546,27532
"msjsdiag.debugger-for-chrome","Microsoft","[Deprecated] Debugger for Chrome",9454283,4.16428565979004,140,0.00081451064464921,0.932540641701104,0.203796910127424,36946076,4.18021359775799,27689
"formulahendry.auto-rename-tag","Jun Han","Auto Rename Tag",9012042,3.46357607841492,151,0.00397365356689241,3.43869729887044,0.752119133202151,16364442,3.52193810642078,26336
"HookyQR.beautify","HookyQR","Beautify",8596260,4.20833349227905,144,0.00184987830360342,1.62661311714965,0.339214122923352,8156746,4.22098746870959,21528
"MS-vsliveshare.vsliveshare","Microsoft","Live Share",8495432,4.30534362792969,131,0.00341426836879326,2.9456067083537,0.619347990427338,77186211,4.31228413157363,24370
"ms-vscode.cmake-tools","Microsoft","CMake Tools",8431066,4.59016370773315,61,0.00827311192333472,8.84427502571252,1.90016837025075,11772800,4.56383145725092,17770
"twxs.cmake","twxs","CMake",8409454,3.79999995231628,20,0.0084491320599341,8.95260512921817,1.9232481026348,210168,4.00106821131395,11778
"xabikos.JavaScriptSnippets","charalampos karypidis","JavaScript (ES6) code snippets",8277212,4.84848499298096,33,0.00361326903567408,3.13477032662981,0.684188723314984,3878876,4.74493144328987,19439
"redhat.vscode-yaml","Red Hat","YAML",8237052,3.60377359390259,53,0.00268356560140041,2.84694738948567,0.624602853589171,47361781,3.73066742491952,33765
"abusaidm.html-snippets","Mohamed Abusaid","HTML Snippets",7773440,4.22222232818604,63,0.00374448123300749,3.00529966268791,0.660727054539063,864234,4.24701443792894,16035
"formulahendry.auto-close-tag","Jun Han","Auto Close Tag",7066382,4.04494380950928,89,0.00295840775946475,2.92798853326814,0.638704483883264,11757577,4.08113178120625,20726
"christian-kohler.path-intellisense","Christian Kohler","Path Intellisense",7018206,4.8301887512207,106,0.00292167710536765,2.8881419530314,0.621533270272624,12788490,4.79337978381455,18158
"golang.Go","Go Team at Google","Go",6918223,4.33624458312988,229,0.00258792137576792,2.68173636462211,0.569168963867573,51976965,4.33904626288634,47127
"jeff-hykin.better-cpp-syntax","Jeff Hykin","Better C++ Syntax",6779986,4.90000009536743,10,0.0104666254890822,10.9105196524549,2.40267331452294,4782913,4.65160241233835,5186
"ms-vscode.cpptools-themes","Microsoft","C/C++ Themes",6731436,2.79999995231628,5,0.0107504130284895,11.0205842870916,2.42462595865241,339,3.86880313697828,6041
